note	spec-file	fenced-units	banned-designations-or-notes	recorded-row
GRTJB	EFF-GRTJB.md	EFF.GRTJB.136;EFF.GRTJB.20;EFF.GRTJB.40	W2-OPEN-1	`W2-OPEN-1` | "consumed NOWHERE (independently re-verified in JB-PE1)" | `.40`, `.20` row 24, `.136`
GRTJB	EFF-GRTJB.md	EFF.GRTJB.117;EFF.GRTJB.138;EFF.GRTJB.20;EFF.GRTJB.33	W-WIN	`W-WIN` | "W-WIN unconsumed"; "window-free legs only, as in [RMG]" | `.20` row 26, `.33`, `.117`, `.138`
GRTJB	EFF-GRTJB.md	EFF.GRTJB.163	my_divmod;pwalk	Vacuity is argued, not machine-checked | the byte-identity→vacuity step is "the PURITY of `pwalk`/`my_divmod` …, ARGUED … and not machine-checked" | `.163`
GRTJC	EFF-GRTJC.md	EFF.GRTJC.31;EFF.GRTJC.43;EFF.GRTJC.46;EFF.GRTJC.64;EFF.GRTJC.69;EFF.GRTJC.99	(IN-3)(c)	`(IN-3)(c)` is NOT consumed on `gr_{O[x]}` | "the transported claim is REFUTED … consumed ONLY through JC-LOC, as (DMULT-w) on B ≅ gr_{K[x]}(w) — never on gr_{O[x]}" | `.43`, `.31`, `.46`, `.64`, `.69`, `.99`
GRTJC	EFF-GRTJC.md	EFF.GRTJC.36;EFF.GRTJC.69	(DMULT-s)	`(DMULT-s)` is NOT cited (pre-Annex-#1) | "FAILED in a specific, reportable way … no corpus-pinned statement delivers multiplier 1" | `.36`, `.69`
GRTJC	EFF-GRTJC.md	EFF.GRTJC.42	(IN-2)	`(IN-2)` is NOT re-proved | "CONSUMED, NOT RE-PROVED." | `.42`
GRTJC	EFF-GRTJC.md	EFF.GRTJC.102;EFF.GRTJC.52	GRW2_TIE_DESIGN	JC-F2's fix is NOT made here | REVIEW-OWED at `GRW2_TIE_DESIGN`, the blueprint and the brief | `.52`, `.102`
GRTJC	EFF-GRTJC.md	EFF.GRTJC.131;EFF.GRTJC.51;EFF.GRTJC.60;EFF.GRTJC.67	Λ_N(0)	`Λ_N(0)` is not supplied | "No value `Λ_N(0)` is supplied by REALIZE. The zero polynomial … does not have weight N." | `.51`, `.60`, `.67`, `.131`
GRTJC	EFF-GRTJC.md	EFF.GRTJC.75;EFF.GRTJC.83	c_T	`c_T` NOT used on the gr side | "𝒜(T)'s multiplication is gr(w)'s OWN (never c_T)"; "Deleting §3.3 leaves §§2–3.2 and 3.4 standing" | `.75`, `.83`
GRTJC	EFF-GRTJC.md	EFF.GRTJC.83	Tower.constants;Tower.read	No harness read inside the determination | the instrument's certifier calls neither `Tower.constants` nor `Tower.read` "inside the determination or the certification" | `.83`
GRTJC	EFF-GRTJC.md	EFF.GRTJC.77;EFF.GRTJC.96;EFF.GRTJC.98	c_T	`c_T`'s VALUE NOT claimed off-stratum | genre 9: "the VALUE c_T is not claimed and has no machine support" | `.77`(2), `.96`, `.98`
GRTJC	EFF-GRTJC.md	EFF.GRTJC.54;EFF.GRTJC.62	q(y^δ)	Annex #5: the universal non-obtainability (withdrawn from shard 3) | the outer factor is always `q(y^δ)`; only its pre-TC-3 availability is at issue | `.54`(iv), `.62`(a)
GRTJC	EFF-GRTJC.md	EFF.GRTJC.127;EFF.GRTJC.85	δ < g_m	Annex #4: the lift to Δ (withdrawn from shard 3) | only the CONGRUENCE descends; the polynomial equality is scoped to `δ < g_m` | `.85`, `.127`
GRTJC	EFF-GRTJC.md	EFF.GRTJC.121	hTrack	No Lean hypothesis discharged | "the compiled file's `hTrack` still needs a Lean-level supplier, and this note is not it" | `.121`
GRTJC	EFF-GRTJC.md	EFF.GRTJC.94	 (consumed elsewhere by ;J-D0;JD0;LEMMA J-D0;NOTE:GENTOW5;NOTE:GRTJC	**`LEMMA J-D0` is consumed NOWHERE in GRTJC (compiler-verified negative, no shard states it)** | Exhaustive grep of all three source shards for `JD0`/`J-D0` returns **zero hits**; GRTJC's own twist-blind result (LAW JC-C
HE3	EFF-HE3.md	EFF.HE3.04	NOTE:GENHN	GENHN-4 / the W-9 weld face | "**GENHN.A(iv)/LEMMA GENHN-4 is NOT consumed**, hence **the W-9 graded weld face (GENHN-BOX-2) is NOT inherited**" | s1 `.04`
HE3	EFF-HE3.md	EFF.HE3.04	NOTE:GENHN	Montes/GMN order-≥2 | "named in GENHN's box as the "faithful-cite target" — is **not** cited" | s1 `.04`
HE3	EFF-HE3.md	EFF.HE3.03;EFF.HE3.25	NOTE:GENHN;NOTE:HE6	GENHN-2 at non-roots | `[r1, F4]`: GENHN-2 "is stated at roots θ of Φ′ only …; the paste above overconsumed it" — the ξ-form is HE6-0″, not GENHN-2 | s1 `.03`, `.25`
HE3	EFF-HE3.md	EFF.HE3.03;EFF.HE3.36	NOTE:HE3	GENHN.C as input | "consumed as a CROSS-CHECK only: §S6 re-derives it as the μ = 2 case of HE3.A, **so no circularity**" | s1 `.03`, `.36`
HE3	EFF-HE3.md	EFF.HE3.11	NOTE:GENHN	The letter-starved corner and μ ≥ 4 in the node derivation | "are NOT closed by this display; there the node is CONSUMED from GENHN's [r1] ERRATUM" | s1 `.11`(iii)
HE3	EFF-HE3.md	EFF.HE3.33	NOTE:HE3	Both base-change branches (as originally displayed) | "**Both branches below are therefore to be read as BOXED (HE3-BOX-6), not proved.**" — later narrowed to (ii) alone by R8-2 | s1 `.33`
HE3	EFF-HE3.md	EFF.HE3.17	NOTE:HE3	"UNCONDITIONAL" ≠ graded | "It does NOT upgrade the grade: the note is at attempt 0/2 and every consequence carries HE3-BOX-1's supplier-stack conditionality." | s1 `.17`
HE3	EFF-HE3.md	EFF.HE3.39	NOTE:GENHN;NOTE:HE3	GENHN-4 / the W-9 weld face (restated) | "HE3 does not consume LEMMA GENHN-4, so the W-9 weld face (GENHN-BOX-2) is absent from the σ chain — it survives only inside GENHN's COUNT laws" | s2 `.39`
HE3	EFF-HE3.md	EFF.HE3.42	factorpadic	An independent char-p oracle | "PARI's `factorpadic` σ-oracle exists only on the ℤ_p side … the char-p rows are scored against the reader plus the internal resultant identity, **not against an independent oracle**" | s2 
HE3	EFF-HE3.md	EFF.HE3.56	NOTE:HE3	Machine grade vs acceptance | "(instrument grade, not acceptance) … nothing here upgrades the conditionality display of COROLLARY HE3.C" | s2 `.56`
HE3	EFF-HE3.md	EFF.HE3.67	NOTE:HE3	A general boundary law | "**No single "one more window unit" law, nor one unstratified exact q-power, follows from HE3-5.**" | s2 `.67`
HE3	EFF-HE3.md	EFF.HE3.66	NOTE:HE3	Weakening any accepted display | "no accepted display of THEOREM HE3.A or COROLLARY HE3.B is weakened" | s2 `.66`
HE7	EFF-HE7.md	EFF.HE7.04	NOTE:HE6	Order-≥2 machinery | "No Ore theorem, no Montes/GMN index theorem, no higher-order residual-polynomial operator, no theorem of the product" — HE6 §S7.3's FGMN citation targets are not used; replaced by §S6's induction | 
HE7	EFF-HE7.md	EFF.HE7.04;EFF.HE7.53	NOTE:GENHN;NOTE:HE7	Refine transfer / weld face | "(d) GENHN-4 (refine transfer), hence no W-9 graded weld face"; LEMMA HE7-8 "needs no 'binomial kill' (GENHN-4/GENHN.A(iv))" | `.04`, `.53`
HE7	EFF-HE7.md	EFF.HE7.03;EFF.HE7.63	NOTE:GENHN;NOTE:HE7	GENHN.C citation | GENHN.C is consumed "as an argument template only, and only at §S8" — its statement is about a stage over a DVR and Ψ is not known irreducible; the five cases are re-derived from THEOREM HE7.A instead 
HE7	EFF-HE7.md	EFF.HE7.09	NOTE:HE7	The gcd step | The §S1 CONVENTION's second equivalence is **not formal** at a reducible key — not proved by HE7 itself; supplied by ANNEX-LEMMA R2-a | `.09`
HE7	EFF-HE7.md	EFF.HE7.38;EFF.HE7.60	NOTE:HE6R1	Peel irreducibility | LEMMA HE6R1-3's irreducibility half "which no textual argument of this note supplies" | `.38`, `.60`
HE7	EFF-HE7.md	EFF.HE7.51	NOTE:HE6R1	Level-i restatements | "The level-i restatements of HE6R1-1/2/3 are not separately displayed here" | `.51`
HE7	EFF-HE7.md	EFF.HE7.45;EFF.HE7.97	NOTE:HE7	Mixed-node continuation (post-hoc) | LEMMA HE7-13's conclusion is not claimed outside its pure-node hypothesis; ANNEX F-1: "genuinely FALSE at mixed nodes"; the naive whole-key continuation is refuted with a machine witn
HE7	EFF-HE7.md	EFF.HE7.72	factorpadic	Oracle asymmetry | "PARI `factorpadic` exists only on the ℤ_p side, so the char-p rows are scored against the reader plus the resultant identities" | `.72`
HE7	EFF-HE7.md	EFF.HE7.104	NOTE:HE7	Blast radius (F-1) | ANNEX F-1's full "What does not move" list — the body's statements, sealed artifacts, HE7.A at pure nodes, §S8's dictionary, HE7.B's grade sentences, every box | `.104`
HE7	EFF-HE7.md	EFF.HE7.123	NOTE:HE7	R4's blast radius | "LEMMA HE7-12(c)'s CONCLUSION is unaffected — the erratum is citation-completeness on one sentence, no transfer breaks" | `.123`
T1	EFF-T1.md	EFF.T1.05	(H-JA-CONJ)_i	General C1 | No arbitrary-depth canonical-letter monomiality without `(H-JA-CONJ)_i`. | s1
T1	EFF-T1.md	EFF.T1.05	(H-GENHN-CLEAR);K_1;M≤D'h;NOTE:GENHN	C6 | No universal full `K_1` slot at `M≤D'h`; no polygon clearance without `(H-GENHN-CLEAR)`. | s1
T1	EFF-T1.md	EFF.T1.05	NOTE:HETOW	A2 (absorption content) | No HETOW-4(c)–(d), side assembly, routing, or common refinement polynomial. | s1
T1	EFF-T1.md	EFF.T1.05	NOTE:HETOW;NOTE:T1;Verbatim	A2 (relocation scope) | The old `Verbatim` classification does not import HETOW's local bridge, function `m`, canonical range, binary carry, or `τ` identification into T1. | s2
T1	EFF-T1.md	EFF.T1.05	NOTE:GENHN;NOTE:GENTOW1;NOTE:HE6;NOTE:T1	A3 (relocation scope) | T1 does not import the budget floors or the wider GENTOW1/GENHN-2′/HE6 conclusions from the corrected-coefficient pin. | s2
T1	EFF-T1.md	EFF.T1.05	NOTE:T1	A5 (absorption content) | No all-sides slope bound, point-set identification, routing/refinement package, frame peels, or splitting contribution; no equation `Φ_2=Ψ_{κ_2,\widetilde r}-w` from T1. | s1
T1	EFF-T1.md	EFF.T1.05	(C4-origin);(H-JA-RES-CONJ)	A5 support | `(C4-origin)` does not import whole-polynomial support comparison without `(H-JA-RES-CONJ)`. | s2
T1	EFF-T1.md	EFF.T1.05	NOTE:GENTOW6;NOTE:HE6	A6 (absorption content) | No GENTOW6 fullness/grid/extraction/noncancellation/attainment theorem; scalar-read provenance is HE6, not GENTOW6. | s1
T1	EFF-T1.md	EFF.T1.05	NOTE:GENTOW6;NOTE:HE6	A6 (relocation scope) | The scalar-read formulas are not imported from GENTOW6; their provenance is HE6 F-1. No wider GENTOW-6.3 conclusion follows. | s2
T1	EFF-T1.md	EFF.T1.05	NOTE:T1	A7 (relocation scope) | T1 does not prove `u(β_t)=Θ(t)w^{f_3-t}` and does not import general factor-pattern preservation into the pinned GENTOW2-B span. | s2
T2	EFF-T2.md	EFF.T2.31	(KEY-FREE)	Weak key-freeness | Do not replace `(KEY-FREE)` by \(\Phi\nmid F\), nor infer a single-key peel from a reducible boundary. | s1
T2	EFF-T2.md	EFF.T2.31	(OCC)	All-height lifts | Do not infer lift surjectivity outside the finite occupied full-height domain `(OCC)`. | s1
T2	EFF-T2.md	EFF.T2.31	(ORIGIN)	Silent origin deletion | Do not discard the \(Y^\nu\) factor in `(ORIGIN)` before recording it. | s1
T2	EFF-T2.md	EFF.T2.31	HE6-LIFT-1L;NOTE:HE6	Declination over-reach | Do not read "unit X is declined as the supplier of consumption C" as "the master consumes nothing from X". `HE6-LIFT-1L` is declined for the slot law and pinned for \(q(k)\). | s2
T2	EFF-T2.md	EFF.T2.31	NOTE:HE6	Slot law from a residual-assembly unit | Do not take a per-\(A\) slot law or the \(\eta^{-q}\) conversion from HE6's §S1 ϖ-normalizer CONVENTION; it states neither. | s2
T2	EFF-T2.md	EFF.T2.31	HE6-LIFT-1L;NOTE:HE6	Reachability as evaluation | Do not take the evaluation of a given \(A\) from `HE6-LIFT-1L`, which describes the reachable residue *set*. | s2
T2	EFF-T2.md	EFF.T2.31	(SEC-RANK);NOTE:HE7	`(SEC-RANK)` as a master theorem | Do not treat `(SEC-RANK)` as derived: the master reproduces no instance's argument, and an instance that cannot supply it does not instantiate HE7.A. | s2
T2	EFF-T2.md	EFF.T2.31	GENTOW-4-A;HETOW-A;NOTE:HE7;NOTE:HETOW	HE7-8 at a foreign key | Do not instantiate LEMMA HE7-8 at the composed key \(\Phi_2\); its hypothesis names the chain's base key. Route to `HETOW-A`(ii) / `GENTOW-4-A`(iii). | s2
T2	EFF-T2.md	EFF.T2.31	(MID-PEEL);NOTE:HE7	HE7-8 `[r3]` as a suite discharge | Do not read HE7-8's `[r3]` interleaving clause as supplying any item of the `(MID-PEEL)` input suite; it supplies occurrence and mass drop only. | s2
T2	EFF-T2.md	EFF.T2.31	(HT);(REF-HT);(RISE)	`(HT)` without `(RISE)` | Do not read `(REF-HT)` as a single stipulation or as a derived fact: `(HT)` is derived **from** `(RISE)`, and `(RISE)` is assumed. | s3
T2	EFF-T2.md	EFF.T2.31	(RISE);(SEC-RANK);NOTE:HE7	`(RISE)` from the master | Do not derive `(RISE)` from the "new valid development" sentence, from `(SEC-RANK)`, or from an unnamed assertion "hypothesised by HE7.A". All three supports are withdrawn. | s3
T2	EFF-T2.md	EFF.T2.31	HE7_PROOF	Textual carriage of the height | Do not treat `HE7_PROOF`:924/925 as legs that carry the refinement height; they are hypothesis-side corroboration of the configuration. | s3
T2	EFF-T2.md	EFF.T2.31	(PINS);NOTE:HE3	LEMMA HE3-2 | Do not consume LEMMA HE3-2 or its clause (b): its unit lies inside no span of `(PINS)`. In particular do not assert that its recentered key exists only at an integer slope. | s3
T2	EFF-T2.md	EFF.T2.31	(HT);NOTE:HE3;NOTE:HE6	Circular level-one discharge | Do not identify HE3's \(\Phi''\) with the master's \(\Phi_{\mathrm{new}}\) by importing `(HT)`; the instance's step must be exhibited first, at the index DEFINITION HE6-1's recipe fixes. | 
T2	EFF-T2.md	EFF.T2.31	(MP1′)	`(MP1′)` as a condition | Do not treat `(MP1′)` as an obligation or as a condition a state may carry; it is retired and denotes a consequence of the pins. | s3
T2	EFF-T2.md	EFF.T2.31	NOTE:HE3;NOTE:HE6	HE3-only transport | Do not read the S1.8C transport as an HE3-only discharge: the record transported is the composite HE3+HE6 discharge, at whatever conditionality it carries at \(\Phi'\). | s3
T2	EFF-T2.md	EFF.T2.31	HE6-PROOF;NOTE:HE6	HE6 caveat (product-\(\ge2\) routing) | Do not consume anything behind `HE6-PROOF`'s §S7 caveat (an \(\ell\ge2\) side with a repeated residual factor); that configuration is the product-\(\ge2\) branch. | s3, s4
T2	EFF-T2.md	EFF.T2.31	NOTE:HE6	Print label as digit | Do not read DEFINITION HE6-1's family index as this master's coherent digit; they differ by the fixed unit \(\eta^{q(\kappa)}\), which nothing forces to be \(1\). | s4
T2	EFF-T2.md	EFF.T2.31	(IDX-TWIST)	Index-name matching | Do not match family members to recenterings at equal index names; match them through `(IDX-TWIST)`. | s4
T2	EFF-T2.md	EFF.T2.31	(IDX-TWIST);NOTE:HE7	`(IDX-TWIST)` as a theorem clause | Do not treat `(IDX-TWIST)` as a hypothesis or conclusion of HE7.A; it is a derived identity of the level-one instance. | s4
T2	EFF-T2.md	EFF.T2.31	(IDX-TWIST)	Arbitrary-lift equality | Do not read `(IDX-TWIST)` as a polynomial identity at an arbitrary permitted lift; at an arbitrary choice it holds modulo increments of height \(>\kappa\). | s4
T2	EFF-T2.md	EFF.T2.31	NOTE:HE6	Fullness for covering | Do not state the covering direction at "a full height"; DEFINITION HE6-1 requires \(\kappa>D'h\), and a full \(\kappa\) in \([(D'-1)h,\,D'h]\) indexes no member. | s4
T2	EFF-T2.md	EFF.T2.31	(LIFT);(RISE);(SIDE-COUNT);(SLOT-V)	Three-data binding | Do not say the height is bound by `(SIDE-COUNT)`, `(SLOT-V)` and `(LIFT)` alone: those three derive the implication only; the binding needs `(RISE)`. | s4
T2	EFF-T2.md	EFF.T2.31	(REF-HT)	`(REF-HT)` for branch selection | Do not cite either clause of `(REF-HT)` for which branch a state takes; that is S1.8's case split plus the lowest-terms convention. | s4
T2	EFF-T2.md	EFF.T2.31	NOTE:HE6	HE6-0 as disk criterion | Do not credit LEMMA HE6-0 with S1.7 clause 1; the disk-membership read is LEMMA HE6-1's own conclusion. | s4
T2	EFF-T2.md	EFF.T2.31	NOTE:HE6	HE6.A statement as supplier | Do not read S3.2's conclusion display from THEOREM HE6.A; it is this master's own clause-2 output at the instance. | s4
T2	EFF-T2.md	EFF.T2.31	NOTE:HE6	Lemma proofs at level one | Do not import HE6 §S3.3, §S4's evaluation proofs, or §S6.1; only the statement displays are consumed. | s4
T2	EFF-T2.md	EFF.T2.31	HE6-BETA-GUARD;NOTE:HE6	Uncorrected β-guard | Do not read LEMMA HE6-2's dichotomy under its as-written guard ("denominator dividing \(\ell\)"); at \(\delta\ne\kappa\) with \(\ell\delta\in\mathbb Z\) the named \(\beta\) is undefined. Read it und
T2	EFF-T2.md	EFF.T2.31	NOTE:HE6	The source's own site check | Do not consume HE6's post-PE4 verdict on its downstream sites; only the corrected guard is consumed. | s5
T2	EFF-T2.md	EFF.T2.31	NOTE:HE7;NOTE:HETOW	HE7-12 licence at \(w\ne0\) | Do not use LEMMA HETOW-2's closing "Either way LEMMA HE7-12 applies" in the \(w\ne0\) branch; C-A re-scopes it to \(w=0\). | s5
T2	EFF-T2.md	EFF.T2.31	GENTOW-4-1	`GENTOW-4-1`(c) as a degree bound | Do not read clause (c) as supplying \(\deg w<D''\); it states the value disjunct only. | s5
T2	EFF-T2.md	EFF.T2.31	(LIFT);NOTE:HE7	Unchecked accumulated increment | Do not assume the degree bound for \(W=w+w_1+\dots+w_j\) from the bound on \(w\) alone; it is checked from `(LIFT)` and corroborated by HE7-12(d). | s5
T2	EFF-T2.md	EFF.T2.31	NOTE:HE7	HE7-L1's proof | Do not consume LEMMA HE7-L1's §S4.1 display; it lies inside no span and is named as corroboration only. | s5
T2	EFF-T2.md	EFF.T2.31	NOTE:HETOW	HETOW:837 (S-2 absorption append) | Do not read the S-2 absorption append as changing HETOW-4's supply; the lemma statement stays byte-frozen and authoritative and the append is not consumed. | s5
T2	EFF-T2.md	EFF.T2.31	NOTE:HE3	The HE3 cap | Do not read S3.1, S3.2, or any level-two chain consuming an HE3 pin through S1.8C, above HE3's HEAD grade \(0/2\) (clean count \(1/2\)). | s6
T2	EFF-T2.md	EFF.T2.31	(LB1);(MP1)	Acceptance as clearance | Do not read acceptance as discharging `(LB1)`, `(MP1)`, or the two stipulated carrier hypotheses: "Acceptance is acceptance of the composition WITH this ledger, not clearance of it." | s6
T2	EFF-T2.md	EFF.T2.31	(MP1′)	A fifth conditionality | Do not carry `(MP1′)` forward as an obligation; it is retired and denotes a consequence of the pins. | s6
T2	EFF-T2.md	EFF.T2.31	NOTE:T2	Battery evidence | Do not expect or cite a machine battery for T2: none is owed, and S7's gate is the pin sweep. | s6
T2	EFF-T2.md	EFF.T2.98	EFF.T2.98;NOTE:T2	Naming as consumption | Do not read the master's naming of a source unit as consumption; the M-B disposition (Rider 3.1, `EFF.T2.98`) turns on exactly that distinction. | s6
GENTOW5	EFF-GENTOW5-s1of2.md	EFF.GENTOW5.s1of2.06	NOTE:HE7	Normalizer systems | “no invariance under CHANGING systems mid-argument is consumed (that stronger claim is false — HE7-T-BADTWIST).”
GENTOW5	EFF-GENTOW5-s1of2.md	EFF.GENTOW5.s1of2.06	y -> eps*y	B-2 | “never B-2 on-the-nose (u = 1), which is FALSE at letter-live grades” — the `y -> eps*y` fallback is “deleted as false at its source”.
GENTOW5	EFF-GENTOW5-s1of2.md	EFF.GENTOW5.s1of2.06	NOTE:GENTOW1	Lift display | “GENTOW1 S3's fixed-base READING of its lift display fails the same way at seam-live heights — a display-level defect there, flagged for that note's own arc, not consumed here.”
GENTOW5	EFF-GENTOW5-s1of2.md	EFF.GENTOW5.s1of2.06	(i+2)	Clause (c) pairing | The composed `(i+2)`-read pairing is refuted by the residual-degree count and at committed rows; “no sentence in the note consumes the retired (i+2)-read pairing.”
GENTOW5	EFF-GENTOW5-s1of2.md	EFF.GENTOW5.s1of2.06	T_1	Index 0 | (a)@0 and (b)@0 “NOT claimed”; the entry locus `T_1` “stays unclaimed”, “Left unclaimed rather than cited.”
GENTOW5	EFF-GENTOW5-s1of2.md	EFF.GENTOW5.s1of2.06	NOTE:GENHN;NOTE:GENTOW5	Open list | “tower COUNT laws at depth >= 3 … partial inner sides … the genre-general faithfulness geography … sigma laws behind [GENHN-HE(mu >= 3)] — none of these is touched by GENTOW5-B, which is a carrier/read/budget
GENTOW5	EFF-GENTOW5-s1of2.md	EFF.GENTOW5.s1of2.06	C3a;C3b	Instrument strength | The sealed `C3a`/`C3b` lines “machine-assert only nfactors … the e = 4 values (and C3b's deg) are PRINTED … not chk-asserted”.
GENTOW5	EFF-GENTOW5-s2of2.md	EFF.GENTOW5.s1of2.06	NOTE:GENTOW5	Single-`w` form | `[GENTOW5-W(i)]` at i ≥ 3 is “NOT PROVED … this note does not reproduce” it — “the honest-sorry analogue”.
W12	EFF-W12-s1of2.md	EFF.W12.s1of2.09	NOTE:W12	Orders ≥ 2 | “No order-≥ 2 count law is CLAIMED here; [W12-H] is the priced route.” The `λ = (1²)` quartic row has a proved volume law and an OPEN σ-resolution.
W12	EFF-W12-s1of2.md	EFF.W12.s1of2.09	U₃^TRP	Exact `U₃^TRP` | “The exact triple-center drainage law is not derived … EXPLORATORY grade, no closed form preregistered.”
W12	EFF-W12-s1of2.md	EFF.W12.s1of2.09	NOTE:LIFTCORNER	Lift convention | “Lift-convention independence of the member SET at deep shapes is the W-2/LIFTCORNER seam, not consumed.”
W12	EFF-W12-s1of2.md	EFF.W12.s1of2.09	NOTE:W12	Weld notes in §§S2–S3 | “consumed ONLY in §S5's composition display and as [W12-H]'s named inputs; NO S2/S3 proof depends on them.”
W12	EFF-W12-s1of2.md	EFF.W12.s1of2.09	htameFE	FE / symmetry | “Nothing here touches `htameFE`; the n = 2 split = inert window symmetry is not asserted at n ≥ 3.”
W12	EFF-W12-s2of2.md	EFF.W12.s1of2.09	U₃^TRP	`U₃^TRP` | “reported per row, NO preregistered value (EXPLORATORY … recorded raw)”; and post-`[r4]` F3, “W-12.B has no n = 3 corroboration here either way”.
W12	EFF-W12-s2of2.md	EFF.W12.s1of2.09	≈ ×q²	The struck P-6 inference | The `≈ ×q²` order claim is FALSE for the measured quantity and, post-pin, not W-12.B's quantity at all.
W12	EFF-W12-s2of2.md	EFF.W12.s1of2.09	NOTE:GENIND	LEMMA W12-HT | “No order-\(\ge2\) leaf theorem or open \(\mu\ge3\) assertion is consumed”; from GENIND-1 “only fracture permanence is used”.
W12	EFF-W12-s2of2.md	EFF.W12.s1of2.09	N ≤ 6	Certificate status | The certificate “corroborate[s] the local normalizations and side-local orbit convention; the proof above supplies the all-degree warrant” — on `n ∈ {3,4}`, `q ∈ {2,3}`, `N ≤ 6` only.
