from-ID	to-ID	edge-kind	chapter	status	edge-class	resolution	kind-basis	evidence
CAP:UniformityStatement	HYP.113	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.113)
CAP:UniformityStatement	HYP.114	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.114)
CAP:UniformityStatement	HYP.115	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.115)
CAP:UniformityStatement	HYP.116	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.116)
CAP:UniformityStatement	HYP.118	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.118)
CAP:UniformityStatement	HYP.119	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.119)
CAP:UniformityStatement	HYP.12	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.12)
CAP:UniformityStatement	HYP.120	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.120)
CAP:UniformityStatement	HYP.121	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.121)
CAP:UniformityStatement	HYP.122	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.122)
CAP:UniformityStatement	HYP.123	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.123)
CAP:UniformityStatement	HYP.124	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.124)
CAP:UniformityStatement	HYP.125	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.125)
CAP:UniformityStatement	HYP.126	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.126)
CAP:UniformityStatement	HYP.127	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.127)
CAP:UniformityStatement	HYP.128	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.128)
CAP:UniformityStatement	HYP.129	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.129)
CAP:UniformityStatement	HYP.13	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.13)
CAP:UniformityStatement	HYP.130	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.130)
CAP:UniformityStatement	HYP.131	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.131)
CAP:UniformityStatement	HYP.132	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.132)
CAP:UniformityStatement	HYP.133	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.133)
CAP:UniformityStatement	HYP.134	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.134)
CAP:UniformityStatement	HYP.135	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.135)
CAP:UniformityStatement	HYP.137	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.137)
CAP:UniformityStatement	HYP.138	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.138)
CAP:UniformityStatement	HYP.139	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A (frozen)
CAP:UniformityStatement	HYP.14	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.14)
CAP:UniformityStatement	HYP.140	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.140)
CAP:UniformityStatement	HYP.141	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.141)
CAP:UniformityStatement	HYP.142	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.142)
CAP:UniformityStatement	HYP.143	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.143)
CAP:UniformityStatement	HYP.144	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.144)
CAP:UniformityStatement	HYP.145	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.145)
CAP:UniformityStatement	HYP.146	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.146)
CAP:UniformityStatement	HYP.148	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A conjunct GENHN-BOX-2 if n≥6
CAP:UniformityStatement	HYP.149	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A (frozen)
CAP:UniformityStatement	HYP.15	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A (frozen)
CAP:UniformityStatement	HYP.17	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.17)
CAP:UniformityStatement	HYP.18	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.18)
CAP:UniformityStatement	HYP.19	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.19)
CAP:UniformityStatement	HYP.20	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.20)
CAP:UniformityStatement	HYP.23	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.23)
CAP:UniformityStatement	HYP.25	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.25)
CAP:UniformityStatement	HYP.26	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.26)
CAP:UniformityStatement	HYP.27	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.27)
CAP:UniformityStatement	HYP.28	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.28)
CAP:UniformityStatement	HYP.29	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.29)
CAP:UniformityStatement	HYP.30	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.30)
CAP:UniformityStatement	HYP.31	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.31)
CAP:UniformityStatement	HYP.32	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.32)
CAP:UniformityStatement	HYP.33	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.33)
CAP:UniformityStatement	HYP.35	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.35)
CAP:UniformityStatement	HYP.36	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.36)
CAP:UniformityStatement	HYP.37	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.37)
CAP:UniformityStatement	HYP.38	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.38)
CAP:UniformityStatement	HYP.39	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A (frozen)
CAP:UniformityStatement	HYP.40	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A conjunct ∀ i≥3, ((H-VARTHETA-RES)_i
CAP:UniformityStatement	HYP.41	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A conjunct LB1
CAP:UniformityStatement	HYP.42	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A conjunct HE7A[ACCOUNT, RES-DEG, nonempty, exhaust, root-continuation
CAP:UniformityStatement	HYP.43	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.43)
CAP:UniformityStatement	HYP.44	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.44)
CAP:UniformityStatement	HYP.45	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.45)
CAP:UniformityStatement	HYP.46	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.46)
CAP:UniformityStatement	HYP.47	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.47)
CAP:UniformityStatement	HYP.48	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.48)
CAP:UniformityStatement	HYP.49	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.49)
CAP:UniformityStatement	HYP.50	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.50)
CAP:UniformityStatement	HYP.51	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A conjunct ∀ i≥3, ((H-VARTHETA-RES)_i
CAP:UniformityStatement	HYP.52	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A conjunct ∀ i≥3, ((H-VARTHETA-RES)_i
CAP:UniformityStatement	HYP.53	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.53)
CAP:UniformityStatement	HYP.54	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.54)
CAP:UniformityStatement	HYP.55	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.55)
CAP:UniformityStatement	HYP.56	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.56)
CAP:UniformityStatement	HYP.57	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.57)
CAP:UniformityStatement	HYP.58	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.58)
CAP:UniformityStatement	HYP.59	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.59)
CAP:UniformityStatement	HYP.60	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.60)
CAP:UniformityStatement	HYP.61	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.61)
CAP:UniformityStatement	HYP.62	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.62)
CAP:UniformityStatement	HYP.63	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A conjunct 𝒲_(≤i)
CAP:UniformityStatement	HYP.64	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.64)
CAP:UniformityStatement	HYP.65	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.65)
CAP:UniformityStatement	HYP.66	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.66)
CAP:UniformityStatement	HYP.68	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.68)
CAP:UniformityStatement	HYP.69	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.69)
CAP:UniformityStatement	HYP.70	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.70)
CAP:UniformityStatement	HYP.71	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.71)
CAP:UniformityStatement	HYP.72	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A conjunct A0_n[disc≠0
CAP:UniformityStatement	HYP.74	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A conjunct JD0-BOX-2
CAP:UniformityStatement	HYP.78	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.78)
CAP:UniformityStatement	HYP.79	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.79)
CAP:UniformityStatement	HYP.80	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.80)
CAP:UniformityStatement	HYP.81	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.81)
CAP:UniformityStatement	HYP.82	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A conjunct [GENHN-TOW-1] if n≥8
CAP:UniformityStatement	HYP.87	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.87)
CAP:UniformityStatement	HYP.88	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.88)
CAP:UniformityStatement	HYP.89	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.89)
CAP:UniformityStatement	HYP.90	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.90)
CAP:UniformityStatement	HYP.91	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.91)
CAP:UniformityStatement	HYP.98	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.98)
CAP:UniformityStatement	HYP.99	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.99)
CAP:UniformityStatementDecided	COND:A1_n	stmt-dep	I	OPEN	ledger-cond	from:exact,to:unmatched	default	HYPOTHESIS_LEDGER Display A conjunct A1_n (no HYP row matched)
CAP:UniformityStatementDecided	COND:A2_n	stmt-dep	I	OPEN	ledger-cond	from:exact,to:unmatched	default	HYPOTHESIS_LEDGER Display A conjunct A2_n (no HYP row matched)
CAP:UniformityStatementDecided	COND:H-e)-window-pinning	stmt-dep	I	OPEN	ledger-cond	from:exact,to:unmatched	default	HYPOTHESIS_LEDGER Display A conjunct H-e)-window-pinning (no HYP row matched)
CAP:UniformityStatementDecided	HYP.01	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.01)
CAP:UniformityStatementDecided	HYP.02	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.02)
CAP:UniformityStatementDecided	HYP.07	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.07)
CAP:UniformityStatementDecided	HYP.08	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.08)
CAP:UniformityStatementDecided	HYP.09	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.09)
CAP:UniformityStatementDecided	HYP.10	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.10)
CAP:UniformityStatementDecided	HYP.100	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.100)
CAP:UniformityStatementDecided	HYP.101	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A conjunct HE7A[ACCOUNT, RES-DEG, nonempty, exhaust, root-continuation
CAP:UniformityStatementDecided	HYP.102	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.102)
CAP:UniformityStatementDecided	HYP.103	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.103)
CAP:UniformityStatementDecided	HYP.104	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.104)
CAP:UniformityStatementDecided	HYP.105	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.105)
CAP:UniformityStatementDecided	HYP.106	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.106)
CAP:UniformityStatementDecided	HYP.107	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.107)
CAP:UniformityStatementDecided	HYP.108	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.108)
CAP:UniformityStatementDecided	HYP.109	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.109)
CAP:UniformityStatementDecided	HYP.11	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.11)
CAP:UniformityStatementDecided	HYP.110	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.110)
CAP:UniformityStatementDecided	HYP.111	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.111)
CAP:UniformityStatementDecided	HYP.112	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.112)
CAP:UniformityStatementDecided	HYP.113	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.113)
CAP:UniformityStatementDecided	HYP.114	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.114)
CAP:UniformityStatementDecided	HYP.115	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.115)
CAP:UniformityStatementDecided	HYP.116	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.116)
CAP:UniformityStatementDecided	HYP.118	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.118)
CAP:UniformityStatementDecided	HYP.119	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.119)
CAP:UniformityStatementDecided	HYP.12	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.12)
CAP:UniformityStatementDecided	HYP.120	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.120)
CAP:UniformityStatementDecided	HYP.121	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.121)
